Type,From,To,Comment
"BreakTime","Feb 01, 03:46 pm","Feb 01, 03:50 pm",""
"Daily","Jan 26, 03:20 am","Jan 26, 03:51 am",""
"Breakfast","Jan 21, 08:47 am","Jan 21, 09:25 am",""
"Nap","Feb 07, 05:48 am","Feb 07, 06:27 am",""
"BreakTime","Jan 31, 11:07 am","Jan 31, 11:20 am",""
"Nap","Jan 23, 01:16 pm","Jan 23, 01:43 pm",""
"DevGrowUp","Feb 09, 09:30 pm","Feb 09, 09:56 pm",""
"BreakTime","Feb 06, 04:43 pm","Feb 06, 04:46 pm",""
"Nap","Feb 08, 07:32 pm","Feb 08, 08:00 pm",""
"DevGrowUp","Jan 25, 01:56 pm","Jan 25, 02:24 pm",""
"Weekly","Jan 29, 09:04 pm","Jan 29, 09:30 pm",""
"BreakTime","Jan 30, 10:35 am","Jan 30, 10:40 am",""
"BreakTime","Feb 11, 02:13 pm","Feb 11, 02:18 pm",""
"BreakTime","Jan 16, 06:08 pm","Jan 16, 06:22 pm",""
"BreakTime","Jan 23, 02:15 pm","Jan 23, 02:20 pm",""
"Game","Feb 03, 04:41 am","Feb 03, 05:04 am",""
"BreakTime","Jan 23, 01:15 pm","Jan 23, 01:16 pm",""
"BreakTime","Jan 25, 09:26 pm","Jan 25, 09:34 pm",""
"Nap","Feb 11, 02:53 pm","Feb 11, 03:23 pm",""
"BreakTime","Jan 17, 01:07 pm","Jan 17, 01:16 pm",""
"BreakTime","Jan 25, 01:42 pm","Jan 25, 01:56 pm",""
"BreakTime","Jan 21, 10:10 am","Jan 21, 10:20 am",""
"Sport","Feb 09, 05:04 am","Feb 09, 05:43 am",""
"DevGrowUp","Jan 23, 10:36 am","Jan 23, 11:02 am",""
"DevGrowUp","Jan 19, 10:45 pm","Jan 19, 11:32 pm",""
"DevGrowUp","Feb 02, 04:58 pm","Feb 02, 05:36 pm",""
"BreakTime","Jan 24, 09:56 am","Jan 24, 09:58 am",""
"Cooking","Jan 29, 05:57 am","Jan 29, 06:47 am",""
"DevGrowUp","Jan 29, 10:01 am","Jan 29, 10:29 am",""
"SelfCleaning","Feb 07, 07:16 am","Feb 07, 07:36 am",""
"DevGrowUp","Feb 07, 04:47 pm","Feb 07, 05:11 pm",""
"BreakTime","Jan 25, 04:31 pm","Jan 25, 04:34 pm",""
"Breakfast","Feb 09, 06:26 am","Feb 09, 06:48 am",""
"BreakTime","Feb 10, 05:11 pm","Feb 10, 05:24 pm",""
"GoodNight","Jan 21, 11:00 pm","Jan 21, 11:50 pm",""
"BreakTime","Feb 08, 10:39 am","Feb 08, 10:42 am",""
"Dinner","Jan 18, 08:09 pm","Jan 18, 08:30 pm",""
"DevGrowUp","Feb 06, 01:02 pm","Feb 06, 01:28 pm",""
"Game","Jan 24, 06:01 am","Jan 24, 06:33 am",""
"Sport","Jan 26, 02:49 am","Jan 26, 03:20 am",""
"WC","Jan 26, 08:20 am","Jan 26, 08:42 am",""
"BreakTime","Feb 12, 11:32 am","Feb 12, 11:45 am",""
"Nap","Jan 23, 05:34 am","Jan 23, 06:01 am",""
"DevGrowUp","Feb 09, 09:54 am","Feb 09, 10:02 am",""
"WorkTalk","Jan 16, 09:46 am","Jan 16, 10:13 am",""
"BreakTime","Jan 16, 03:32 pm","Jan 16, 03:38 pm",""
"Transport","Jan 24, 06:29 pm","Jan 24, 07:38 pm",""
"GoodMorning","Jan 22, 07:56 am","Jan 22, 08:14 am",""
"Sport","Feb 08, 04:50 am","Feb 08, 05:24 am",""
"Nap","Jan 31, 06:54 pm","Jan 31, 07:26 pm",""
"DevGrowUp","Jan 17, 10:37 am","Jan 17, 11:03 am",""
"Nap","Jan 18, 07:50 pm","Jan 18, 08:09 pm",""
"BreakTime","Feb 09, 09:56 pm","Feb 09, 10:00 pm",""
"BreakTime","Feb 02, 04:23 pm","Feb 02, 04:29 pm",""
"DevGrowUp","Jan 17, 08:26 pm","Jan 17, 08:53 pm",""
"Upgrde","Jan 31, 02:37 pm","Jan 31, 03:12 pm",""
"BreakTime","Jan 18, 11:08 am","Jan 18, 11:23 am",""
"BreakTime","Jan 18, 09:05 pm","Jan 18, 09:05 pm",""
"DevGrowUp","Feb 03, 04:31 pm","Feb 03, 05:00 pm",""
"BreakTime","Jan 27, 05:51 pm","Jan 27, 06:01 pm",""
"BreakTime","Feb 11, 10:17 pm","Feb 11, 10:20 pm",""
"Weekly","Feb 12, 01:04 pm","Feb 12, 02:02 pm",""
"DevGrowUp","Feb 06, 11:14 am","Feb 06, 12:02 pm",""
"BreakTime","Feb 01, 04:21 pm","Feb 01, 04:33 pm",""
"GoodNight","Feb 02, 10:07 pm","Feb 02, 11:25 pm",""
"DevGrowUp","Jan 19, 12:19 am","Jan 19, 12:44 am",""
"WorkTalk","Feb 09, 01:00 pm","Feb 09, 01:30 pm",""
"Dinner","Feb 09, 08:50 pm","Feb 09, 09:30 pm",""
"DevGrowUp","Jan 17, 03:20 pm","Jan 17, 03:49 pm",""
"Daily","Feb 09, 06:48 am","Feb 09, 07:27 am",""
"BreakTime","Feb 13, 12:01 pm","Feb 13, 12:03 pm",""
"DevGrowUp","Feb 11, 01:15 pm","Feb 11, 01:42 pm",""
"Lunch","Feb 04, 12:06 pm","Feb 04, 01:18 pm",""
"BreakTime","Feb 05, 09:42 pm","Feb 05, 09:49 pm",""
"DevGrowUp","Jan 22, 09:38 am","Jan 22, 10:06 am",""
"BreakTime","Jan 17, 04:27 pm","Jan 17, 04:29 pm",""
"GoodMorning","Jan 17, 07:34 am","Jan 17, 08:16 am",""
"Upgrde","Feb 01, 12:52 pm","Feb 01, 01:16 pm",""
"Transport","Feb 09, 06:34 pm","Feb 09, 08:00 pm",""
"DevGrowUp","Jan 19, 05:22 pm","Jan 19, 05:50 pm",""
"DevGrowUp","Feb 02, 03:09 pm","Feb 02, 03:46 pm",""
"DevGrowUp","Feb 09, 10:49 am","Feb 09, 11:19 am",""
"BreakTime","Jan 23, 11:41 am","Jan 23, 11:45 am",""
"DevGrowUp","Feb 08, 09:40 pm","Feb 08, 10:14 pm",""
"CoreSleep","Jan 16, 11:25 pm","Jan 17, 06:09 am",""
"Nap","Jan 24, 01:53 pm","Jan 24, 02:20 pm",""
"Upgrde","Feb 03, 05:04 am","Feb 03, 05:33 am",""
"BreakTime","Jan 18, 09:05 pm","Jan 18, 09:15 pm",""
"BreakTime","Feb 06, 04:02 pm","Feb 06, 04:06 pm",""
"Nap","Jan 18, 04:42 pm","Jan 18, 05:00 pm",""
"BreakTime","Jan 28, 08:05 am","Jan 28, 08:15 am",""
"BreakTime","Jan 15, 11:29 am","Jan 15, 11:41 am",""
"Upgrde","Jan 31, 10:42 am","Jan 31, 11:07 am",""
"Lunch","Jan 31, 01:00 pm","Jan 31, 01:34 pm",""
"BreakTime","Jan 22, 05:08 pm","Jan 22, 05:13 pm",""
"DevGrowUp","Jan 24, 03:03 pm","Jan 24, 03:33 pm",""
"BreakTime","Jan 22, 02:47 pm","Jan 22, 03:15 pm",""
"DevGrowUp","Feb 07, 11:05 am","Feb 07, 11:34 am",""
"Dinner","Feb 12, 05:41 pm","Feb 12, 06:12 pm",""
"Weekly","Jan 21, 09:25 am","Jan 21, 10:10 am",""
"DevGrowUp","Feb 07, 03:14 pm","Feb 07, 04:25 pm",""
"Daily","Feb 11, 12:16 pm","Feb 11, 12:51 pm",""
"GoodMorning","Jan 16, 08:15 am","Jan 16, 08:44 am",""
"BreakTime","Jan 29, 03:11 pm","Jan 29, 03:17 pm",""
"BreakTime","Feb 10, 04:36 pm","Feb 10, 04:40 pm",""
"BreakTime","Feb 06, 03:30 pm","Feb 06, 03:35 pm",""
"Transport","Jan 16, 06:29 pm","Jan 16, 07:30 pm",""
"BreakTime","Jan 19, 03:33 am","Jan 19, 03:47 am",""
"DevGrowUp","Jan 19, 04:40 am","Jan 19, 04:55 am",""
"RSS","Jan 27, 02:50 am","Jan 27, 03:07 am",""
"BreakTime","Feb 09, 05:25 pm","Feb 09, 05:28 pm",""
"DevGrowUp","Jan 29, 10:33 am","Jan 29, 11:09 am",""
"WorkTalk","Feb 03, 06:40 am","Feb 03, 10:42 am",""
"DevGrowUp","Jan 21, 06:17 pm","Jan 21, 06:59 pm",""
"DevGrowUp","Jan 25, 11:31 am","Jan 25, 12:02 pm",""
"DevGrowUp","Jan 25, 02:27 pm","Jan 25, 03:19 pm",""
"DevGrowUp","Jan 17, 01:55 pm","Jan 17, 02:20 pm",""
"Lunch","Jan 16, 12:10 pm","Jan 16, 12:28 pm",""
"GoodMorning","Feb 03, 06:01 am","Feb 03, 06:32 am",""
"Daily","Feb 12, 08:21 am","Feb 12, 08:57 am",""
"BreakTime","Jan 29, 10:17 pm","Jan 29, 10:58 pm",""
"Lunch","Feb 09, 12:14 pm","Feb 09, 01:00 pm",""
"WorkTalk","Jan 22, 11:23 am","Jan 22, 11:33 am",""
"GoodMorning","Jan 26, 08:42 am","Jan 26, 09:43 am",""
"Weekly","Jan 31, 06:12 pm","Jan 31, 06:54 pm",""
"BreakTime","Jan 19, 09:41 pm","Jan 19, 10:07 pm",""
"Sport","Jan 24, 04:15 am","Jan 24, 04:51 am",""
"BreakTime","Feb 11, 01:42 pm","Feb 11, 01:48 pm",""
"Weekly","Feb 02, 04:33 am","Feb 02, 05:38 am",""
"DevGrowUp","Jan 17, 12:05 pm","Jan 17, 12:05 pm",""
"DevGrowUp","Feb 03, 11:37 am","Feb 03, 12:00 pm",""
"GoodMorning","Jan 26, 07:03 am","Jan 26, 07:15 am",""
"BreakTime","Feb 11, 09:34 pm","Feb 11, 09:51 pm",""
"BreakTime","Feb 12, 07:33 pm","Feb 12, 07:39 pm",""
"Nap","Jan 19, 01:29 pm","Jan 19, 02:06 pm",""
"BreakTime","Feb 09, 10:43 am","Feb 09, 10:49 am",""
"Waste","Feb 09, 10:00 pm","Feb 09, 11:18 pm",""
"Lunch","Feb 02, 01:07 pm","Feb 02, 01:41 pm",""
"Daily","Jan 25, 11:19 pm","Jan 25, 11:40 pm",""
"DevGrowUp","Jan 27, 04:01 am","Jan 27, 04:29 am",""
"DevGrowUp","Jan 18, 11:23 am","Jan 18, 11:50 am",""
"Daily","Jan 27, 03:07 am","Jan 27, 03:41 am",""
"DevGrowUp","Jan 19, 10:07 pm","Jan 19, 10:33 pm",""
"Nap","Feb 08, 01:15 pm","Feb 08, 01:38 pm",""
"Upgrde","Jan 25, 09:19 am","Jan 25, 10:00 am",""
"DevGrowUp","Jan 24, 09:58 am","Jan 24, 10:05 am",""
"CoreSleep","Jan 17, 11:45 pm","Jan 18, 02:22 am",""
"Cooking","Jan 31, 08:10 am","Jan 31, 09:14 am",""
"BreakTime","Jan 19, 03:26 pm","Jan 19, 03:35 pm",""
"BreakTime","Feb 10, 02:14 pm","Feb 10, 02:17 pm",""
"Sport","Jan 29, 04:27 am","Jan 29, 04:57 am",""
"DevGrowUp","Jan 22, 03:29 am","Jan 22, 04:07 am",""
"DevGrowUp","Feb 05, 09:49 pm","Feb 05, 10:28 pm",""
"DevGrowUp","Jan 23, 03:59 am","Jan 23, 04:22 am",""
"DevGrowUp","Feb 08, 09:44 am","Feb 08, 10:02 am",""
"CoreSleep","Jan 31, 11:41 pm","Feb 01, 06:05 am",""
"DevGrowUp","Jan 18, 09:23 am","Jan 18, 09:56 am",""
"BreakTime","Feb 11, 05:36 pm","Feb 11, 05:40 pm",""
"BreakTime","Jan 25, 03:19 pm","Jan 25, 03:23 pm",""
"Game","Feb 05, 06:50 am","Feb 05, 07:20 am",""
"WorkTalk","Jan 25, 10:00 am","Jan 25, 10:22 am",""
"Family","Jan 19, 07:42 pm","Jan 19, 08:30 pm",""
"BreakTime","Feb 04, 05:40 pm","Feb 04, 11:36 pm",""
"DevGrowUp","Jan 21, 05:47 pm","Jan 21, 06:12 pm",""
"BreakTime","Jan 27, 10:36 pm","Jan 27, 10:45 pm",""
"BreakTime","Feb 08, 02:40 pm","Feb 08, 02:43 pm",""
"DevGrowUp","Jan 24, 03:37 pm","Jan 24, 04:01 pm",""
"BreakTime","Feb 09, 04:56 pm","Feb 09, 04:59 pm",""
"Nap","Jan 18, 11:53 pm","Jan 19, 12:19 am",""
"DevGrowUp","Feb 06, 02:14 pm","Feb 06, 02:40 pm",""
"WorkTalk","Jan 18, 03:20 pm","Jan 18, 03:41 pm",""
"WC","Jan 17, 03:49 pm","Jan 17, 04:27 pm",""
"Sport","Feb 07, 04:00 am","Feb 07, 04:41 am",""
"BreakTime","Feb 10, 11:06 am","Feb 10, 11:14 am",""
"Waste","Feb 07, 02:38 pm","Feb 07, 03:10 pm",""
"CoreSleep","Jan 29, 11:50 pm","Jan 30, 07:25 am",""
"DevGrowUp","Feb 09, 02:44 pm","Feb 09, 03:12 pm",""
"Family","Jan 27, 01:28 pm","Jan 27, 02:00 pm",""
"WC","Feb 05, 08:35 pm","Feb 05, 08:48 pm",""
"DevGrowUp","Jan 18, 12:33 pm","Jan 18, 12:59 pm",""
,
Type,Duration
" GoodNight","75641"
" CoreSleep","465522"
" Sport CoreSleep","35"
" Sport","49135"
" Cat","4185"
" BreakTime","329757"
" Nap","150038"
" Breakfast","16840"
" Housework","6073"
" Game","15460"
" Waste","44533"
" Lunch","109276"
" Cooking","55381"
" GoodMorning","30016"
" Transport GoodMorning","40"
" Transport","189960"
" WorkTalk","56713"
" DevGrowUp","546918"
" Transport BreakTime","63"
" Dinner","30971"
" BreakTime DevGrowUp","1502"
" WC Cooking","46"
" WC","21608"
" Work","4692"
" GoodNight DevGrowUp","50"
" Game DevGrowUp","20"
" Lunch DevGrowUp","41"
" Social","53328"
" Daily","102477"
" DevGrowUp Nap","83"
" WC GoodMorning","56"
" Dinner DevGrowUp","15"
" Family","28897"
" Nap Family","54"
" SelfCleaning","8244"
" CoreSleep BreakTime","52"
" CoreSleep Daily","26"
" Weekly","25144"
" CoreSleep GoodNight","3058"
" WorkTalk DevGrowUp","303"
" Nap Transport","42"
" GoodMorning Daily","58"
" DevGrowUp Cooking","39"
" WC Breakfast","102"
" Nap WC","52"
" Upgrde Housework","44"
" Upgrde","51382"
" QQ","3088"
" Upgrde DevGrowUp","2"
" Daily GoodNight","37"
" DevGrowUp GoodMorning","41"
" CoreSleep DevGrowUp","1880"
" RSS","2640"
" Family Lunch","7"
" Cinema","9755"
" Daily BreakTime","66"
" Writing","14860"
" BreakTime Writing","58"
" Family Writing","34"
" BreakTime Upgrde","129"
" Nap Upgrde","13"
" Nap Weekly","42"
" Transport DevGrowUp","49"
" Maintain","8841"
" CoreSleep Maintain","53"
" SelfCleaning Cooking","45"
" Daily Sport","52"
" Work DevGrowUp","48"
" Dinner Nap","52"
" WC BreakTime","1"
" SelfCleaning Daily","20"
" DevGrowUp Daily","3"
" Nap Lunch","18"
